ts_iso,icao24,callsign,origin_country,lat,lon,geo_alt_m,baro_alt_m,spd_ms,hdg_deg,vr_ms,on_ground
2025-11-14T09:55:30.000Z,4b1613,SWR9CK,Switzerland,43.0381,-1.3122,10843.26,10675.62,201.14,244.88,-0.33,false
2025-11-14T09:55:22.000Z,407fac,TOM6KX,United Kingdom,51.1473,-0.2141,,,0,168.75,,true
2025-11-14T09:55:30.000Z,3c6422,CFG1CD,Germany,46.4155,-2.2269,10073.64,10066.02,201.55,225.83,0,false
2025-11-14T09:55:30.000Z,407fb5,GDBSD,United Kingdom,47.3535,8.2173,13876.02,13716,264.26,124.37,0.65,false
2025-11-14T09:55:30.000Z,440047,EJU48DN,Austria,41.8798,-4.6733,11330.94,11269.98,202.73,244.61,-0.33,false
2025-11-14T09:55:30.000Z,440c8d,AUA362M,Austria,49.0612,3.2,3474.72,3421.38,183.22,83.71,4.23,false
2025-11-14T09:55:30.000Z,3453d3,ANE48NC,Spain,43.2419,-3.5419,7650.48,7620,195.07,199.25,-0.33,false
2025-11-14T09:55:30.000Z,440051,EJU97WJ,Austria,43.5172,7.0246,1165.86,1036.32,81.85,45.25,-4.23,false
2025-11-14T09:55:30.000Z,a9fa2a,N742C,United States,50.9245,7.4656,1889.76,1889.76,59.9,265.07,0,false
2025-11-14T09:55:30.000Z,44006d,AUA135,Austria,47.7483,8.7625,2499.36,2400.3,118.95,287.1,-5.2,false
2025-11-14T09:55:30.000Z,3c6448,DLH01F,Germany,45.7372,5.0843,,,8.23,104.06,,true
2025-11-14T09:55:30.000Z,484fdf,KLM41H,Kingdom of the Netherlands,50.5485,3.6334,11376.66,11239.5,192.13,198.58,4.88,false
2025-11-14T09:55:30.000Z,440080,EJU82TA,Austria,46.838,-1.9681,4983.48,4968.24,162.56,197.12,13,false
2025-11-14T09:55:30.000Z,484fde,KLM1579,Kingdom of the Netherlands,44.672,-3.5631,11925.3,11887.2,199.34,218.08,0.33,false
2025-11-14T09:55:04.000Z,3c6444,DLH9PL,Germany,50.0378,8.5482,,137.16,4.63,70.31,,true
2025-11-14T09:55:30.000Z,3c6443,DLH353,Germany,50.0409,8.5611,,,8.75,67.5,,true
2025-11-14T09:55:30.000Z,4b161e,EDW223X,Switzerland,45.6155,5.4104,11247.12,10972.8,247.04,53.3,0.33,false
2025-11-14T09:55:30.000Z,3c6442,DLH2CP,Germany,48.6886,9.1968,,,7.2,73.12,,true
2025-11-14T09:55:25.000Z,44005d,SKV73,Austria,50.897,4.4641,,,0,199.69,,true
2025-11-14T09:55:30.000Z,3c644a,DLH41X,Germany,45.9287,7.0461,10035.54,9753.6,250.73,15.35,-0.33,false
2025-11-14T09:55:30.000Z,4caecc,RYR7LW,Ireland,48.3628,4.4729,11186.16,10972.8,231.01,322.24,0,false
2025-11-14T09:55:30.000Z,40087a,BAW568J,United Kingdom,46.242,5.8144,12138.66,11879.58,229.15,123.83,0,false
2025-11-14T09:55:30.000Z,39dc41,FHXCB,France,47.2644,-2.5163,274.32,358.14,39.95,214.51,-1.3,false
2025-11-14T09:55:30.000Z,347287,IBE0597,Spain,50.3118,3.1251,7254.24,7132.32,220.15,41.4,-7.48,false
2025-11-14T09:55:30.000Z,aa6ba4,UAL932,United States,50.7583,-2.193,11323.32,11277.6,271.7,78.75,0,false
2025-11-14T09:55:30.000Z,440017,OEANN,Austria,47.9232,9.3719,1546.86,1478.28,43.32,164.15,1.63,false
2025-11-14T09:54:02.000Z,39806f,FHADP,France,49.1257,3.4431,701.04,701.04,65.58,85.05,0.65,false
2025-11-14T09:55:30.000Z,39bdab,AFR83WJ,France,49.8803,6.0074,11170.92,10972.8,184.65,235.56,0,false
2025-11-14T09:55:30.000Z,39bdae,AFR67SJ,France,51.0658,1.1657,9791.7,9677.4,249.71,322.87,5.53,false
2025-11-14T09:55:30.000Z,39bdaf,AFR97DW,France,48.082,3.0456,7894.32,7734.3,204,149.88,5.85,false
2025-11-14T09:55:30.000Z,440005,EJU48PM,Austria,51.0422,7.7666,11750.04,11574.78,190.31,239.28,0.33,false
2025-11-14T09:55:30.000Z,3e1215,CHX77,Germany,49.8288,8.2892,533.4,510.54,72.1,352.62,-1.3,false
2025-11-14T09:55:30.000Z,39bda3,AFR34YH,France,46.2478,5.8896,3977.64,3855.72,165.33,6.97,19.83,false
2025-11-14T09:55:30.000Z,440037,EJU93VH,Austria,46.7947,5.8069,11239.5,10965.18,223.27,294.79,-0.33,false
2025-11-14T09:55:30.000Z,4caefe,ITY212,Ireland,44.7827,6.5321,11887.2,11582.4,232.84,323.54,0,false
2025-11-14T09:55:30.000Z,4caeff,ITY305,Ireland,45.6456,9.0293,3741.42,3581.4,176.76,170.62,-11.7,false
